,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-04-30,-6233850.0,0.21,-343663000.0,-29685000.0,-29685000.0,-430092000.0,48804000.0,348786000.0,-373348000.0,-422152000.0,51092000.0,2071000.0,53163000.0,-406640850.0,-430092000.0,1489331000.0,-447257000.0,332657000.0,332657000.0,-1.29,-1.29,-430092000.0,-430092000.0,-430092000.0,-140000.0,-429952000.0,-429952000.0,5729000.0,-424223000.0,-28058000.0,1627000.0,-26521000.0,26521000.0,-3164000.0,51092000.0,2071000.0,53163000.0,-447257000.0,1140545000.0,472404000.0,668141000.0,458554000.0,209587000.0,209587000.0,693288000.0,348786000.0,1042074000.0,1042074000.0
2025-01-31,57658.311494,0.013122,-282249000.0,4394000.0,4394000.0,-327474000.0,50130000.0,333184000.0,-277855000.0,-327985000.0,54240000.0,2070000.0,56310000.0,-331810341.688506,-327474000.0,1373448000.0,-386678000.0,,,,,-327474000.0,-327474000.0,-327474000.0,-1750000.0,-325724000.0,-325724000.0,-4331000.0,-330055000.0,2383000.0,-2011000.0,0.0,0.0,4394000.0,54240000.0,2070000.0,56310000.0,-386678000.0,1040264000.0,492490000.0,547774000.0,432683000.0,115091000.0,115091000.0,653586000.0,333184000.0,986770000.0,986770000.0
2024-10-31,-1808310.0,0.21,-269619000.0,-8611000.0,-8611000.0,-324279000.0,47046000.0,320894000.0,-278230000.0,-325276000.0,47966000.0,689000.0,48655000.0,-317476310.0,-324279000.0,1307551000.0,-365457000.0,331761000.0,331761000.0,-0.98,-0.98,-324279000.0,-324279000.0,-324279000.0,3623000.0,-327902000.0,-327902000.0,1937000.0,-325965000.0,-8474000.0,137000.0,-5200000.0,5200000.0,-3411000.0,47966000.0,689000.0,48655000.0,-365457000.0,986657000.0,442435000.0,544222000.0,437962000.0,106260000.0,106260000.0,621200000.0,320894000.0,942094000.0,942094000.0
2024-07-31,-1366680.0,0.21,-303684000.0,-6508000.0,-6508000.0,-316899000.0,45111000.0,288078000.0,-310192000.0,-355303000.0,49265000.0,,49265000.0,-311757680.0,-316899000.0,1224126000.0,-355303000.0,334071000.0,334071000.0,-0.95,-0.95,-316899000.0,-316899000.0,-316899000.0,871000.0,-317770000.0,-317770000.0,3786000.0,-313984000.0,-7946000.0,-1438000.0,-7158000.0,7158000.0,650000.0,49265000.0,,49265000.0,-355303000.0,936048000.0,437660000.0,498388000.0,400625000.0,97763000.0,97763000.0,580745000.0,288078000.0,868823000.0,868823000.0
2024-04-30,-4345950.0,0.21,-254179000.0,-20695000.0,-20695000.0,-316988000.0,40221000.0,272517000.0,-274874000.0,-315095000.0,54779000.0,0.0,54779000.0,-300638950.0,-316988000.0,1177281000.0,-348572000.0,333584000.0,333584000.0,-0.95,-0.95,-316988000.0,-316988000.0,-316988000.0,828000.0,-317816000.0,-317816000.0,2721000.0,-315095000.0,-21302000.0,-607000.0,-18753000.0,18753000.0,-1942000.0,54779000.0,0.0,54779000.0,-348572000.0,904764000.0,410794000.0,493970000.0,400822000.0,93148000.0,93148000.0,556192000.0,272517000.0,828709000.0,828709000.0
2024-01-31,,,,,,,,,,,,,,,,,,331079000.0,331079000.0,-0.51,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
